Region,Province,1991,2006,2009,2012,2015
All,All,34.4,26.6,26.3,25.2,21.6
"NCR - National Capital Region
",All,7.1,4.7,3.6,3.9,3.9
"NCR - National Capital Region
",    1st District,-,4.9,5.1,6.2,5.1
"NCR - National Capital Region
",    2nd District,-,4.9,3.3,2.4,2.9
"NCR - National Capital Region
",    3rd District,-,4.6,4.5,3.8,4.1
"NCR - National Capital Region
",    4th District,-,4.4,2.4,4.8,4.5
"CAR - Corillera Administrative Region
",All,42.7,26,25.1,22.8,19.7
"CAR - Corillera Administrative Region
",    Abra,-,49.3,48.8,37.4,28.9
"CAR - Corillera Administrative Region
",    Apayao,-,46.8,45.7,61.4,34.9
"CAR - Corillera Administrative Region
",    Benguet,-,5.8,6.1,3.7,3.5
"CAR - Corillera Administrative Region
",    Ifugao,-,28,32.1,42.4,32.5
"CAR - Corillera Administrative Region
",    Kalinga,-,47.3,30.1,26.8,34.9
"CAR - Corillera Administrative Region
",    Mt. Province,-,44.1,52.2,37.6,39
Region I - Ilocos,All,36.6,25.9,22,18.5,13.1
Region I - Ilocos,    Ilocos Norte,-,17.7,14.7,9.9,5.3
Region I - Ilocos,    Ilocos Sur,-,20.8,18.1,17.3,12.1
Region I - Ilocos,    La Union,-,26,29.3,18.5,12.2
Region I - Ilocos,    Pangasinan,-,28.7,22.3,20.4,15.3
Region II  - Cagayan Valley,All,42.8,26.8,25.5,22.1,15.8
Region II  - Cagayan Valley,    Batanes,-,16.6,14.4,33.3,0
Region II  - Cagayan Valley,    Cagayan,-,29.6,27.8,19.7,15.9
Region II  - Cagayan Valley,    Isabela,-,29.6,28.9,24.4,15.2
Region II  - Cagayan Valley,    Nueva Vizcaya,-,15,13.3,20.7,13.6
Region II  - Cagayan Valley,    Quirino,-,14.6,15.6,21.2,26.5
Region III - Central Luzon,All,21.1,13.1,13.7,12.9,11.2
Region III - Central Luzon,    Aurora,-,30.5,18.2,30.8,26.3
Region III - Central Luzon,    Bataan,-,9.7,7.7,7.1,2
Region III - Central Luzon,    Bulacan,-,7.3,6.9,7.3,4.5
Region III - Central Luzon,    Nueva Ecija,-,26.5,29.9,25.2,22.6
Region III - Central Luzon,    Pampanga,-,2.7,6.9,7.6,4.9
Region III - Central Luzon,    Tarlac,-,18.1,17.5,16.6,18.1
Region III - Central Luzon,    Zambales,-,23.6,17.3,16,16.8
Region IVA - CALABARZON,All,22.7,10.3,11.9,10.9,9.1
Region IVA - CALABARZON,    Batangas,-,14.4,17.1,19,9.3
Region IVA - CALABARZON,    Cavite,-,1.8,3.2,3.4,6.8
Region IVA - CALABARZON,    Laguna,-,5.5,8.4,6.4,5.4
Region IVA - CALABARZON,    Quezon,-,33.5,29.8,27.5,22.7
Region IVA - CALABARZON,    Rizal,-,3.3,8.6,6.1,5.4
Region IVB - MIMAROPA,All,44.4,40.6,34.5,31,24.4
Region IVB - MIMAROPA,    Marinduque,-,40.5,33.6,32.9,16.2
Region IVB - MIMAROPA,    Occidental Mindoro,-,43.2,35.9,38.1,41.2
Region IVB - MIMAROPA,    Oriental Mindoro,-,43.7,36.1,29.3,21.6
Region IVB - MIMAROPA,    Palawan,-,35.2,30.9,26.4,17
Region IVB - MIMAROPA,    Romblon,-,46.1,41.9,40.5,36.6
Region V - Bicol,All,54.5,44.2,44.2,41.1,36
Region V - Bicol,    Albay,-,36.4,36.7,41,25.2
Region V - Bicol,    Camarines Norte,-,41.1,41.8,28.7,36.4
Region V - Bicol,    Camarines Sur,-,47.8,47.9,41.2,35.2
Region V - Bicol,    Catanduanes,-,41.4,29.1,33.8,43.4
Region V - Bicol,    Masbate,-,53.6,56.3,51.3,45.4
Region V - Bicol,    Sorsogon,-,41.2,39.3,40.7,41.3
Region VI - Western Visayas,All,39.6,29.1,30.8,29.1,22.4
Region VI - Western Visayas,    Aklan,-,41.8,44.7,25,14.9
Region VI - Western Visayas,    Antique,-,51.6,44.3,30.9,26
Region VI - Western Visayas,    Capiz,-,29.9,29,27.8,12.9
Region VI - Western Visayas,    Guimaras,-,25.3,20.7,25.2,5.2
Region VI - Western Visayas,    Iloilo,-,21.8,26.6,26.2,20
Region VI - Western Visayas,    Negros Occidental,-,28.2,30.4,32.3,29
Region VII - Central Visayas,All,43.6,35.9,31,30.2,27.6
Region VII - Central Visayas,    Bohol,-,48.2,43.7,36.8,26
Region VII - Central Visayas,    Cebu,-,30.4,26.8,22.7,21.4
Region VII - Central Visayas,    Negros Oriental,-,42.9,33.2,50.1,45
Region VII - Central Visayas,    Siquijor,-,22.7,31,32.6,52.9
Region VIII -  Eastern Visayas,All,50,41.5,42.6,45.2,38.7
Region VIII -  Eastern Visayas,    Biliran,-,29.8,39.2,27.5,21.3
Region VIII -  Eastern Visayas,    Eastern Samar,-,51.3,56.4,63.7,46.3
Region VIII -  Eastern Visayas,    Leyte,-,38.4,36.3,39.2,31
Region VIII -  Eastern Visayas,    Northern Samar,-,53.4,52.1,50.2,56.2
Region VIII -  Eastern Visayas,    Southern Leyte,-,33.7,43.1,43.3,38
Region VIII -  Eastern Visayas,    Western Samar,-,40.4,42.5,50,46.9
Region IX - Zamboanga Peninsula,All,40.3,45,45.8,40.1,33.9
Region IX - Zamboanga Peninsula,    Zamboanga del Norte,-,65.5,68.5,54.4,51.6
Region IX - Zamboanga Peninsula,    Zamboanga del Sur,-,31.7,31.6,32,24.8
Region IX - Zamboanga Peninsula,    Zamboanga Sibugay,-,50.7,52.7,44.8,31.7
Region IX - Zamboanga Peninsula,    Isabela City,-,41.9,27.4,22.1,25.1
Region X - Northern Mindanao,All,46.6,39,40.1,39.5,36.6
Region X - Northern Mindanao,    Bukidnon,-,43.6,46,49,53.6
Region X - Northern Mindanao,    Camiguin,-,34.6,25.5,53.6,34
Region X - Northern Mindanao,    Lanao del Norte,-,40.7,46.2,49.1,44.3
Region X - Northern Mindanao,    Misamis Occidental,-,44,46.5,42.8,36.9
Region X - Northern Mindanao,    Misamis Oriental,-,32,28.9,23.4,19.3
Region XI - Davao,All,39.6,30.6,31.4,30.7,22
Region XI - Davao,    Davao del Norte,-,31.7,32,33.4,33.2
Region XI - Davao,    Davao del Sur,-,23.7,24.8,24.4,15.6
Region XI - Davao,    Davao Oriental,-,50.5,54.4,45.8,29.9
Region XI - Davao,    Compostela Valley,-,37.7,36.6,36.7,28.1
Region XII - SOCCSKSARGEN,All,53.3,37.9,38.3,44.7,37.3
Region XII - SOCCSKSARGEN,    North Cotabato,-,31.4,30.6,52.4,41.4
Region XII - SOCCSKSARGEN,    Saranggani,-,49,57.7,53.2,55.2
Region XII - SOCCSKSARGEN,    South Cotabato,-,31.7,31.6,32,24.6
Region XII - SOCCSKSARGEN,    Sultan Kudarat,-,52,51.5,48.5,48
Region XII - SOCCSKSARGEN,    Cotabato City,-,34.4,34,44.3,31.6
Region XIII - Caraga,All,54.3,49.2,54.4,40.3,39.1
Region XIII - Caraga,    Agusan del Norte,-,44.1,45.9,34.7,34.9
Region XIII - Caraga,    Agusan del Sur,-,53.8,60,48.1,47.3
Region XIII - Caraga,    Surigao Del Norte,-,52.7,57.9,41.8,34.7
Region XIII - Caraga,    Surigao Del Sur,-,46.5,53.7,36,40.1
ARMM -  Autonomous Region in Muslim Mindanao,All,30.5,47.1,47.4,55.8,53.7
ARMM -  Autonomous Region in Muslim Mindanao,    Basilan,-,39,36.6,41.2,37
ARMM -  Autonomous Region in Muslim Mindanao,    Lanao del Sur,-,44.7,56.6,73.8,71.9
ARMM -  Autonomous Region in Muslim Mindanao,    Maguindanao,-,54.6,52.2,63.7,57.2
ARMM -  Autonomous Region in Muslim Mindanao,    Sulu,-,40.7,41.6,45.8,54.9
ARMM -  Autonomous Region in Muslim Mindanao,    Tawi-tawi,-,52.4,35.3,28.6,12.6