id,y,x01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,x12
1,25.3209,1.61,1.15,0.53,0.89,1.93,2.66,56,47,53,3.51,10.49,4.94
2,11.1852,1.61,0.76,0.53,0.89,0.98,2.2,56,3,76,3.51,0.535,22.59
3,16.2945,1.61,1.02,0.53,0.89,0.93,2.66,56,11,53,3.51,0.968,4.94
4,14.8078,1.61,1.02,0.53,0.89,0.93,2.2,56,11,76,3.51,0.968,22.59
5,9.0212,1.34,0.76,0.53,1,0.98,2.2,20,3,76,1.55,0.535,22.59
6,9.0514,1.34,0.76,0.53,1,0.98,1.9,20,3,75,1.55,0.535,21.02
7,9.2891,1.44,0.76,0.53,0.95,0.98,1.9,38,3,75,2.63,0.535,21.02
8,11.7087,1.44,1.02,0.53,0.95,0.93,2.2,38,11,76,2.63,0.968,22.59
9,32.4948,1.61,1.03,0.64,0.89,1.9,1.5,56,83,73,3.51,9.78,16.65
10,45.3982,1.61,1.01,0.78,0.89,1.12,1.5,56,58,91,3.51,6.689,15.37
11,23.6934,1.61,0.91,0.64,0.89,1.22,1.6,56,66,41,3.51,8.551,8.57
12,41.0378,1.61,0.91,0.78,0.89,1.22,1.5,56,66,91,3.51,8.551,15.37
13,22.2316,1.61,0.89,0.64,0.89,1.24,1.6,56,68,41,3.51,9.066,8.57
14,38.6801,1.61,0.89,0.78,0.89,1.24,1.5,56,68,91,3.51,9.066,15.37
15,15.7121,1.61,0.89,0.57,0.89,1.24,2.2,56,68,44,3.51,9.066,12.37
16,21.8867,1.61,0.89,0.64,0.89,1.24,1.5,56,68,73,3.51,9.066,16.65
17,27.1412,1.61,0.95,0.64,0.89,1.12,1.6,56,63,41,3.51,5.244,8.57
18,43.5963,1.61,0.95,0.78,0.89,1.12,1.5,56,63,91,3.51,5.244,15.37
19,10.3569,1.61,0.65,0.61,0.89,1.83,2.16,56,26,42,3.51,7.874,10.28
20,10.0140,1.61,0.65,0.58,0.89,1.83,1.9,56,26,75,3.51,7.874,21.02
21,42.7278,1.61,0.94,0.78,0.89,1.2,1.5,56,64,91,3.51,7.901,15.37
22,22.5850,1.61,0.94,0.58,0.89,1.2,1.9,56,64,75,3.51,7.901,21.02
23,23.3137,1.61,0.9,0.64,0.89,1.23,1.6,56,67,41,3.51,8.795,8.57
24,40.2304,1.61,0.9,0.78,0.89,1.23,1.5,56,67,91,3.51,8.795,15.37
25,14.3286,1.61,0.8,0.64,0.89,1.78,1.6,56,49,41,3.51,7.31,8.57
26,13.5628,1.61,0.8,0.58,0.89,1.78,2.2,56,49,76,3.51,7.31,22.59
27,14.0126,1.61,0.8,0.58,0.89,1.78,1.9,56,49,75,3.51,7.31,21.02
28,14.1693,1.61,0.8,0.6,0.89,1.78,2.05,56,49,51,3.51,7.31,6.697
29,29.1140,1.61,0.8,0.76,0.89,1.78,1.7,56,49,92,3.51,7.31,19.05
30,48.3337,1.61,1.03,0.78,0.89,1.1,1.5,56,57,91,3.51,6.146,15.37
31,17.6175,1.61,0.86,0.64,0.89,1,1.6,56,71,41,3.51,9.841,8.57
32,34.4563,1.61,0.86,0.78,0.89,1,1.5,56,71,91,3.51,9.841,15.37
33,12.6617,1.61,0.65,0.58,0.89,1.55,1.9,56,25,75,3.51,7.47,21.02
34,30.1899,1.61,0.98,0.64,0.89,1.14,1.6,56,60,41,3.51,7.01,8.57
35,27.6160,1.61,0.98,0.58,0.89,1.14,1.9,56,60,75,3.51,7.01,21.02
36,31.8921,1.61,0.98,0.64,0.89,1.14,1.5,56,60,73,3.51,7.01,16.65
37,12.5410,1.61,0.75,0.64,0.89,2.28,1.6,56,45,41,3.51,12.45,8.57
38,13.8465,1.61,0.75,0.64,0.89,1.36,1.6,56,21,41,3.51,2.985,8.57
39,31.3089,1.61,0.75,0.78,0.89,1.36,1.5,56,21,91,3.51,2.985,15.37
40,12.3209,1.61,0.75,0.58,0.89,1.36,1.9,56,21,75,3.51,2.985,21.02
41,13.7049,1.61,0.75,0.64,0.89,1.36,1.5,56,21,73,3.51,2.985,16.65
42,25.7778,1.61,0.75,0.76,0.89,1.36,1.7,56,21,92,3.51,2.985,19.05
43,44.4866,1.61,0.96,0.78,0.89,1.17,1.5,56,62,91,3.51,7.353,15.37
44,28.6045,1.61,0.96,0.64,0.89,1.17,1.5,56,62,73,3.51,7.353,16.65
45,19.1320,1.61,0.89,0.6,0.89,1.8,2.05,56,81,51,3.51,11.85,6.697
46,21.5513,1.61,0.89,0.64,0.89,1.8,1.5,56,81,73,3.51,11.85,16.65
47,37.9163,1.61,0.88,0.78,0.89,1.25,1.5,56,69,91,3.51,9.32,15.37
48,20.8969,1.61,0.88,0.64,0.89,1.25,1.5,56,69,73,3.51,9.32,16.65
49,39.4406,1.61,0.9,0.78,0.89,1.22,1.5,56,39,91,3.51,4.472,15.37
50,17.8597,1.61,0.9,0.58,0.89,1.22,1.9,56,39,75,3.51,4.472,21.02
51,37.1927,1.61,0.9,0.76,0.89,1.22,1.7,56,39,92,3.51,4.472,19.05
52,18.3482,1.61,0.87,0.64,0.89,1.21,1.6,56,70,41,3.51,6.57,8.57
53,19.9783,1.61,0.87,0.64,0.89,1.21,1.5,56,70,73,3.51,6.57,16.65
54,11.9974,1.49,0.75,0.64,1.8,1.36,1.5,82,21,73,11.34,2.985,16.65
55,8.8962,1.44,0.54,0.64,0.95,1.61,1.5,38,13,73,2.63,2.7,16.65
56,9.3718,1.44,0.61,0.6,0.95,1.88,2.05,38,27,51,2.63,8.9,6.697
57,9.0923,1.44,0.62,0.58,0.95,1.66,2.2,38,24,76,2.63,7.19,22.59
58,8.9531,1.44,0.62,0.62,0.95,1.66,1.7,38,24,74,2.63,7.19,19.25
59,8.9818,1.44,0.62,0.58,0.95,1.81,2.2,38,31,76,2.63,5.904,22.59
60,9.1595,1.44,0.62,0.58,0.95,1.81,1.9,38,31,75,2.63,5.904,21.02
61,10.2965,1.44,0.8,0.58,0.95,1.78,1.9,38,49,75,2.63,7.31,21.02
62,16.4962,1.44,0.8,0.76,0.95,1.78,1.7,38,49,92,2.63,7.31,19.05
63,12.7771,1.44,0.75,0.76,0.95,1.36,1.9,38,21,83,2.63,2.985,9.78
64,9.7971,1.44,0.75,0.58,0.95,1.36,2.2,38,21,76,2.63,2.985,22.59
65,9.5073,1.44,0.67,0.64,0.95,2.28,1.5,38,45,73,2.63,12.45,16.65
66,9.3250,1.44,0.62,0.64,0.95,1.66,1.6,38,24,41,2.63,7.19,8.57
67,18.8656,1.61,1,0.59,0.89,1,2.16,56,20,42,3.51,1.55,10.28
68,17.3870,1.61,1,0.55,0.89,1,2.2,56,20,76,3.51,1.55,22.59
69,20.2747,1.61,1,0.56,0.89,1,2.1,56,20,52,3.51,1.55,6.24
70,35.1132,1.61,1,0.73,0.89,1,1.7,56,20,92,3.51,1.55,19.05
71,15.9001,1.61,0.95,0.59,0.89,1.69,2.16,56,48,42,3.51,8.65,10.28
72,16.0929,1.61,0.95,0.55,0.89,1.69,2.2,56,48,76,3.51,8.65,22.59
73,10.6717,1.61,0.75,0.59,0.89,1.88,2.16,56,27,42,3.51,8.9,10.28
74,10.7372,1.61,0.75,0.55,0.89,1.88,1.9,56,27,75,3.51,8.9,21.02
75,11.3461,1.61,0.75,0.6,0.89,1.88,1.7,56,27,74,3.51,8.9,19.25
76,15.1521,1.61,0.8,0.73,0.89,1.66,1.7,56,24,92,3.51,7.19,19.05
77,15.3407,1.61,0.78,0.73,0.89,1.83,1.7,56,26,92,3.51,7.874,19.05
78,10.6059,1.61,0.72,0.59,0.89,1.31,2.16,56,12,42,3.51,1.738,10.28
79,10.5416,1.61,0.72,0.55,0.89,1.31,1.9,56,12,75,3.51,1.738,21.02
80,11.7993,1.61,0.72,0.56,0.89,1.31,2.1,56,12,52,3.51,1.738,6.24
81,11.0280,1.61,0.72,0.6,0.89,1.31,1.7,56,12,74,3.51,1.738,19.25
82,12.4311,1.61,0.83,0.59,0.89,1.55,2.16,56,25,42,3.51,7.47,10.28
83,29.6353,1.61,0.83,0.73,0.89,1.55,1.7,56,25,92,3.51,7.47,19.05
84,9.9032,1.61,0.69,0.59,0.89,1.91,2.16,56,28,42,3.51,8.908,10.28
85,16.7089,1.61,0.69,0.73,0.89,1.91,1.7,56,28,92,3.51,8.908,19.05
86,10.4146,1.61,0.69,0.6,0.89,1.91,1.7,56,28,42,3.51,8.908,19.25
87,10.9527,1.61,0.74,0.55,0.89,1.65,2.2,56,30,76,3.51,7.14,22.59
88,11.2642,1.61,0.74,0.55,0.89,1.65,1.9,56,30,75,3.51,7.14,21.02
89,11.5202,1.61,0.74,0.6,0.89,1.65,1.7,56,30,42,3.51,7.14,19.25
90,9.6905,1.34,1,0.6,1,1,1.7,20,20,42,1.55,1.55,19.25
91,10.0638,1.49,0.78,0.6,1.8,1.83,1.7,82,26,42,11.34,7.874,19.25
92,9.6387,1.49,0.72,0.56,1.8,1.31,2.1,82,12,52,11.34,1.738,6.24
93,13.4170,1.44,1,0.55,0.95,1,2.2,38,20,76,2.63,1.55,22.59
94,12.9015,1.44,0.75,0.73,0.95,1.88,1.7,38,27,92,2.63,8.9,19.05
95,9.1999,1.44,0.78,0.55,0.95,1.83,2.2,38,26,76,2.63,7.874,22.59
96,11.4301,1.44,0.78,0.73,0.95,1.83,1.7,38,26,92,2.63,7.874,19.05
97,13.0207,1.44,0.72,0.73,0.95,1.31,1.7,38,12,92,2.63,1.738,19.05
98,14.4828,1.44,0.83,0.73,0.95,1.55,1.7,38,25,92,2.63,7.47,19.05
99,11.6083,1.61,0.76,0.58,0.89,0.98,1.9,56,3,75,3.51,0.535,21.02
100,14.9819,1.61,1.02,0.58,0.89,0.93,1.9,56,11,75,3.51,0.968,21.02
101,9.2440,1.44,0.76,0.53,0.95,0.98,2.2,38,3,76,2.63,0.535,22.59
102,11.8922,1.44,1.02,0.58,0.95,0.93,1.9,38,11,75,2.63,0.968,21.02
103,10.8043,1.61,0.75,0.58,0.89,1.88,1.9,56,27,75,3.51,8.9,21.02
104,30.7430,1.61,0.91,0.64,0.89,1.22,1.5,56,66,73,3.51,8.551,16.65
105,16.9389,1.61,0.89,0.58,0.89,1.24,1.9,56,68,75,3.51,9.066,21.02
106,35.7826,1.61,0.89,0.89,0.89,1.24,1.38,56,68,92,3.51,9.066,19.05
107,26.6801,1.61,0.95,0.95,0.89,1.12,1.5,56,63,73,3.51,5.244,16.65
108,26.2214,1.61,0.94,0.64,0.89,1.2,1.6,56,64,41,3.51,7.901,8.57
109,24.0826,1.61,0.94,0.6,0.89,1.2,2.05,56,64,51,3.51,7.901,6.697
110,24.8866,1.61,0.9,0.95,0.89,1.23,1.5,56,67,73,3.51,8.795,16.65
111,33.7496,1.61,0.8,0.78,0.89,1.78,1.5,56,49,91,3.51,7.31,15.37
112,14.6398,1.61,0.8,0.95,0.89,1.78,1.5,56,49,73,3.51,7.31,16.65
113,33.1125,1.61,1.03,0.53,0.89,1.1,1.9,56,57,75,3.51,6.146,21.02
114,18.0999,1.61,0.86,0.95,0.89,1,1.5,56,71,73,3.51,9.841,16.65
115,46.3647,1.61,0.98,0.78,0.89,1.14,1.5,56,60,91,3.51,7.01,15.37
116,47.3367,1.61,0.99,0.78,0.89,1.13,1.5,56,59,91,3.51,6.64,15.37
117,12.2072,1.61,0.75,0.53,0.89,1.36,2.2,56,21,76,3.51,2.985,22.59
118,13.1500,1.61,0.75,0.6,0.89,1.36,2.05,56,21,51,3.51,2.985,6.697
119,28.1076,1.61,0.96,0.64,0.89,1.17,1.6,56,62,41,3.51,7.353,8.57
120,41.8685,1.61,0.92,0.78,0.89,1.1,1.5,56,65,91,3.51,8.219,15.37
121,21.2151,1.61,0.88,0.64,0.89,1.25,1.6,56,69,41,3.51,9.32,8.57
122,24.4796,1.61,0.9,0.64,0.89,1.22,1.6,56,39,41,3.51,4.472,8.57
123,22.9453,1.61,0.9,0.64,0.89,1.22,1.5,56,39,73,3.51,4.472,16.65
124,36.4770,1.61,0.87,0.78,0.89,1.21,1.5,56,70,91,3.51,6.57,15.37
125,8.8639,1.44,0.54,0.64,0.95,1.61,1.6,38,13,41,2.63,2.7,8.57
126,9.1240,1.44,0.62,0.59,0.95,1.66,2.16,38,24,42,2.63,7.19,10.28
127,10.2336,1.44,0.78,0.76,0.95,1.83,1.9,38,26,83,2.63,7.874,9.78
128,10.1770,1.44,0.8,0.58,0.95,1.78,2.2,38,49,76,2.63,7.31,22.59
129,9.8421,1.44,0.75,0.53,0.95,1.36,1.9,38,21,75,2.63,2.985,21.02
130,9.4436,1.44,0.75,0.64,0.95,2.28,1.6,38,45,41,2.63,12.45,8.57
131,49.3373,1.61,1.61,0.76,0.89,0.89,1.38,56,56,92,3.51,3.51,19.05
132,17.1582,1.61,1.34,0.58,0.89,1,1.9,56,20,75,3.51,1.55,21.02
133,19.6902,1.61,1.34,0.62,0.89,1,2.36,56,20,74,3.51,1.55,19.25
134,15.5286,1.61,0.95,0.58,0.89,1.69,1.9,56,48,75,3.51,8.65,21.02
135,18.6007,1.61,0.75,0.76,0.89,1.88,1.38,56,27,92,3.51,8.9,19.05
136,10.1147,1.61,0.78,0.58,0.89,1.83,1.9,56,26,75,3.51,7.874,21.02
137,10.4789,1.61,0.72,0.58,0.89,1.31,2.2,56,12,76,3.51,1.738,22.59
138,19.4042,1.61,0.72,0.76,0.89,1.31,1.38,56,12,92,3.51,1.738,19.05
139,13.2774,1.61,0.83,0.62,0.89,1.55,2.36,56,25,25,3.51,7.47,19.25
140,9.9555,1.61,0.69,0.58,0.89,1.91,1.9,56,28,75,3.51,8.908,21.02
141,11.1072,1.61,0.74,0.59,0.89,1.65,2.16,56,30,42,3.51,7.14,10.28
142,20.5795,1.61,0.74,0.76,0.89,1.65,1.38,56,30,92,3.51,7.14,19.05
143,8.7513,1.34,0.72,0.62,1,1.31,2.36,20,12,74,1.55,1.738,19.25
144,9.7393,1.49,0.72,0.62,1.8,1.31,2.36,82,12,74,1.34,1.738,19.25
145,10.8771,1.44,0.62,0.76,0.95,1.66,1.38,38,24,92,2.63,7.19,19.05
146,9.5480,1.44,0.72,0.56,0.95,1.31,2.1,38,12,52,2.63,1.738,6.24
147,12.1051,1.44,0.69,0.76,0.95,1.91,1.38,38,28,92,2.63,8.908,19.05